ccaa,cpro,cmun,dist,secc,t1_1
01,41,091,01,001,1275
01,41,091,01,002,1040
01,41,091,01,003,1195
01,41,091,01,004,775
01,41,091,01,005,1065
01,41,091,01,006,1315
01,41,091,01,007,1525
01,41,091,01,008,1225
01,41,091,01,009,835
01,41,091,01,010,1220
01,41,091,01,011,1175
01,41,091,01,012,1400
01,41,091,01,013,845
01,41,091,01,014,1250
01,41,091,01,015,1160
01,41,091,01,016,500
01,41,091,01,017,2725
01,41,091,01,018,500
01,41,091,01,019,1115
01,41,091,01,020,440
01,41,091,01,021,1045
01,41,091,01,022,940
01,41,091,01,023,1705
01,41,091,01,024,1130
01,41,091,01,025,2065
01,41,091,01,026,1265
01,41,091,01,027,1080
01,41,091,01,028,645
01,41,091,01,029,2185
01,41,091,01,030,640
01,41,091,01,031,870
01,41,091,01,032,1145
01,41,091,01,033,1200
01,41,091,01,034,1345
01,41,091,01,035,405
01,41,091,01,036,310
01,41,091,01,037,445
01,41,091,01,038,1800
01,41,091,01,039,1775
01,41,091,01,040,985
01,41,091,01,041,1700
01,41,091,01,042,770
01,41,091,01,043,1215
01,41,091,01,044,660
01,41,091,01,045,890
01,41,091,01,046,1160
01,41,091,01,047,2165
01,41,091,01,048,1005
01,41,091,01,049,945
01,41,091,01,050,540
01,41,091,01,051,1890
01,41,091,02,001,2135
01,41,091,02,002,500
01,41,091,02,003,1655
01,41,091,02,004,1015
01,41,091,02,005,1735
01,41,091,02,006,1035
01,41,091,02,007,1195
01,41,091,02,008,1800
01,41,091,02,009,1640
01,41,091,02,010,1780
01,41,091,02,011,900
01,41,091,02,012,885
01,41,091,02,013,2450
01,41,091,02,014,1430
01,41,091,02,015,1820
01,41,091,02,016,1305
01,41,091,02,017,625
01,41,091,02,018,1315
01,41,091,02,019,1055
01,41,091,02,020,1415
01,41,091,02,021,785
01,41,091,02,022,770
01,41,091,02,023,2090
01,41,091,02,024,855
01,41,091,02,025,1200
01,41,091,02,026,1085
01,41,091,02,027,2240
01,41,091,02,028,1210
01,41,091,02,029,880
01,41,091,02,030,1000
01,41,091,02,031,695
01,41,091,02,032,640
01,41,091,02,033,1255
01,41,091,02,036,625
01,41,091,02,037,1145
01,41,091,02,038,1450
01,41,091,02,039,445
01,41,091,02,040,1960
01,41,091,02,041,695
01,41,091,02,042,1065
01,41,091,02,043,2090
01,41,091,02,044,1735
01,41,091,02,045,515
01,41,091,02,046,1250
01,41,091,02,047,1040
01,41,091,02,048,990
01,41,091,02,049,1460
01,41,091,02,050,1140
01,41,091,02,051,3135
01,41,091,02,052,400
01,41,091,02,053,745
01,41,091,02,054,1105
01,41,091,02,055,1420
01,41,091,02,056,1255
01,41,091,02,057,960
01,41,091,02,058,1390
01,41,091,02,059,785
01,41,091,02,060,720
01,41,091,02,061,905
01,41,091,02,062,1015
01,41,091,02,063,945
01,41,091,02,064,1115
01,41,091,02,065,1135
01,41,091,02,066,810
01,41,091,02,067,740
01,41,091,03,001,1945
01,41,091,03,002,1675
01,41,091,03,003,1745
01,41,091,03,004,1980
01,41,091,03,005,2115
01,41,091,03,006,1915
01,41,091,03,007,2040
01,41,091,03,008,1365
01,41,091,03,009,1025
01,41,091,03,010,1200
01,41,091,03,011,805
01,41,091,03,012,940
01,41,091,03,013,1400
01,41,091,03,014,655
01,41,091,03,015,940
01,41,091,03,016,840
01,41,091,03,017,1305
01,41,091,03,019,1285
01,41,091,03,020,945
01,41,091,03,021,1160
01,41,091,03,022,1185
01,41,091,03,023,1550
01,41,091,03,024,1275
01,41,091,03,025,925
01,41,091,03,026,355
01,41,091,03,027,1390
01,41,091,03,028,1270
01,41,091,03,029,505
01,41,091,03,030,1120
01,41,091,03,031,735
01,41,091,03,032,1915
01,41,091,03,033,1365
01,41,091,03,034,865
01,41,091,03,035,985
01,41,091,03,036,830
01,41,091,03,037,1840
01,41,091,03,038,1500
01,41,091,03,039,1260
01,41,091,03,040,845
01,41,091,03,041,2075
01,41,091,04,001,845
01,41,091,04,002,960
01,41,091,04,003,995
01,41,091,04,004,655
01,41,091,04,005,1990
01,41,091,04,006,1155
01,41,091,04,007,360
01,41,091,04,008,335
01,41,091,04,009,1350
01,41,091,04,010,2090
01,41,091,04,011,1175
01,41,091,04,012,980
01,41,091,04,013,885
01,41,091,04,014,1385
01,41,091,04,015,2080
01,41,091,04,016,960
01,41,091,04,017,850
01,41,091,04,018,1550
01,41,091,04,019,675
01,41,091,04,020,1115
01,41,091,04,021,1850
01,41,091,04,022,1085
01,41,091,04,023,950
01,41,091,04,024,1560
01,41,091,04,025,1115
01,41,091,04,026,1365
01,41,091,04,027,995
01,41,091,04,028,670
01,41,091,04,029,650
01,41,091,04,030,1040
01,41,091,04,031,700
01,41,091,04,032,1355
01,41,091,04,033,1365
01,41,091,04,034,1550
01,41,091,04,035,1505
01,41,091,04,036,1255
01,41,091,04,037,2050
01,41,091,04,038,695
01,41,091,04,039,1585
01,41,091,04,040,1590
01,41,091,04,041,1505
01,41,091,04,042,1945
01,41,091,04,043,1530
01,41,091,04,044,1185
01,41,091,04,045,1725
01,41,091,04,046,1320
01,41,091,04,047,365
01,41,091,04,048,810
01,41,091,04,049,1425
01,41,091,04,050,1210
01,41,091,04,052,2080
01,41,091,04,053,575
01,41,091,04,054,1705
01,41,091,04,055,1095
01,41,091,04,056,775
01,41,091,04,057,1120
01,41,091,04,058,2325
01,41,091,04,059,1895
01,41,091,04,060,2070
01,41,091,04,061,1550
01,41,091,04,062,2325
01,41,091,04,063,2275
01,41,091,04,064,2870
01,41,091,04,065,1110
01,41,091,04,066,2080
